rank	composition_mean_normalized_influence	shortcut_mean_normalized_influence
1	24355.61046	18724.98403
2	22021.07804	17187.3567
3	20621.33726	14548.16769
4	20353.19638	10157.18236
5	13086.41434	10145.06067
6	12859.06795	9242.582217
7	12129.83757	8976.043919
8	11912.85164	8962.222784
9	11724.96005	8571.535601
10	9934.884104	8376.340729
11	9877.860945	8084.729175
12	9810.819498	7676.636351
13	9444.751391	7647.407497
14	9224.704677	7570.653367
15	8944.201291	7448.41543
16	8364.690449	7427.343945
17	8299.521501	7413.192856
18	8191.240803	7247.510044
19	7984.583201	6936.359252
20	7894.499076	6780.226151
21	7838.885814	6730.971839
22	7370.840026	6711.056206
23	7326.642555	6483.255454
24	7163.65593	6432.281633
25	6985.850877	6376.463004
26	6970.129287	6267.86539
27	6893.811002	6192.647189
28	6837.069693	6178.910425
29	6732.99881	6152.811528
30	6579.420418	6138.890558
31	6465.049026	5999.138502
32	6425.016328	5911.232425
33	6389.919935	5741.453262
34	6290.465476	5685.30382
35	6280.874614	5566.554696
36	6026.750983	5555.664754
37	6012.161573	5553.064647
38	6000.100661	5539.329157
39	5991.392341	5539.109201
40	5928.268019	5535.567073
41	5861.423464	5458.418393
42	5798.912548	5329.478232
43	5721.432705	5263.644524
44	5689.423696	5239.556242
45	5658.263499	5185.772734
46	5578.595391	5109.168052
47	5542.073175	5033.825146
48	5535.920426	4946.528104
49	5519.531227	4898.005018
50	5503.401373	4853.015852
51	5449.335224	4783.58793
52	5430.054551	4771.914942
53	5397.189335	4765.172611
54	5393.584632	4762.939817
55	5374.674507	4760.368774
56	5373.23485	4702.546491
57	5352.797475	4699.153384
58	5339.96616	4697.365468
59	5288.685092	4675.481795
60	5287.851169	4665.894367
61	5255.114283	4625.975176
62	5224.743454	4610.079717
63	5209.995474	4590.189088
64	5160.570906	4586.788978
65	5144.197907	4580.066478
66	5095.576792	4496.070552
67	5043.624331	4486.156144
68	5005.960985	4459.633082
69	5003.552058	4430.559618
70	4990.534961	4406.392689
71	4973.291004	4363.647113
72	4965.066034	4339.224788
73	4957.31301	4331.281647
74	4935.891395	4322.366287
75	4921.041292	4309.462366
76	4910.474382	4297.99854
77	4899.443312	4291.382864
78	4877.677023	4267.372641
79	4861.071652	4251.233557
80	4835.002923	4214.64359
81	4832.185483	4194.283759
82	4825.080242	4182.397991
83	4795.767836	4177.490327
84	4745.862675	4157.435311
85	4726.535184	4138.147854
86	4694.223642	4104.865765
87	4689.987072	4100.750585
88	4687.874889	4100.41975
89	4673.557099	4094.234095
90	4645.580575	4093.054194
91	4612.604185	4071.067653
92	4611.223157	4041.300668
93	4611.061757	4038.342189
94	4522.488212	4024.853924
95	4506.368835	4010.67526
96	4501.102217	4010.021204
97	4492.787956	4001.097717
98	4491.272067	3971.41589
99	4481.498502	3970.216586
100	4478.822938	3960.708439
101	4477.963493	3957.749273
102	4465.063413	3930.271901
103	4456.842356	3925.701806
104	4455.880925	3921.925524
105	4455.455714	3908.699682
106	4445.724639	3899.743035
107	4439.916126	3887.027964
108	4439.061275	3874.93361
109	4425.150579	3846.289705
110	4419.122311	3825.394917
111	4417.386258	3816.117422
112	4401.018246	3797.455856
113	4399.455991	3778.986543
114	4387.332651	3759.135129
115	4386.663564	3752.64798
116	4383.454195	3729.376845
117	4375.834925	3715.819021
118	4375.240571	3715.62949
119	4366.432575	3712.073928
120	4352.639247	3690.956536
121	4341.582257	3670.346811
122	4332.347214	3666.512901
123	4320.628521	3664.743827
124	4301.159831	3644.41585
125	4298.575949	3610.436762
126	4298.573644	3608.586528
127	4286.493998	3601.563582
128	4279.495624	3584.742852
129	4271.974054	3584.433307
130	4271.531005	3564.702296
131	4265.070894	3558.042365
132	4263.868625	3556.471619
